District,Port,Name
01,,"PORTLAND, ME"
01,0101,"PORTLAND, ME"
01,0102,"BANGOR, ME"
01,0103,"EASTPORT, ME"
01,0104,"JACKMAN, ME"
01,0105,"VANCEBORO, ME"
01,0106,"HOULTON, ME"
01,0107,"FORT FAIRFIELD, ME"
01,0108,"VAN BUREN, ME"
01,0109,"MADAWASKA, ME"
01,0110,"FORT KENT, ME"
01,0111,"BATH, ME"
01,0112,"BAR HARBOR, ME"
01,0115,"CALAIS, ME"
01,0118,"LIMESTONE, ME"
01,0121,"ROCKLAND, ME"
01,0122,"JONESPORT, ME"
01,0127,"BRIDGEWATER, ME"
01,0131,"PORTSMOUTH, NH"
01,0132,"BELFAST, ME"
01,0152,"SEARSPORT, ME"
01,0182,"MANCHESTER USER FEE AIRPORT, NH"
02,,"ST. ALBANS, VT"
02,0201,"ST. ALBANS, VT"
02,0203,"RICHFORD, VT"
02,0206,"BEECHER FALLS, VT"
02,0207,"BURLINGTON, VT"
02,0209,"DERBY LINE, VT"
02,0211,"NORTON, VT"
02,0212,"HIGHGATE SPRINGS/ALBURG, VT"
04,,"BOSTON, MA"
04,0401,"BOSTON, MA"
04,0402,"SPRINGFIELD, MA"
04,0403,"WORCESTER, MA"
04,0404,"GLOUCESTER, MA"
04,0405,"NEW BEDFORD, MA"
04,0406,"PLYMOUTH, MA"
04,0407,"FALL RIVER, MA"
04,0408,"SALEM, MA"
04,0410,"BRIDGEPORT,CT"
04,0411,HARTFORD. CT
04,0412,"NEW HAVEN,CT"
04,0413,"NEW LONDON, CT"
04,0416,"LAWRENCE, MA"
04,0417,"LOGAN AIRPORT, MA"
04,0481,"L.G. HANSCOM FIELD, MA"
05,,"PROVIDENCE, RI"
05,0501,"NEWPORT, RI"
05,0502,"PROVIDENCE, RI"
05,0503,"MELLVILLE, RI"
07,,"OGDENSBURG, NY"
07,0701,"OGDENSBURG, NY"
07,0704,"MASSENA, NY"
07,0706,"CAPE VINCENT, NY"
07,0708,"ALEXANDRIA BAY, NY"
07,0712,"CHAMPLAIN-ROUSES POINT, NY"
07,0714,"CLAYTON, NY"
07,0715,"TROUT RIVER, NY"
09,,"BUFFALO, NY"
09,0901,"BUFFALO-NIAGARA FALLS, NY"
09,0903,"ROCHESTER, NY"
09,0904,"OSWEGO, NY"
09,0905,"SODUS POINT, NY"
09,0906,"SYRACUSE, NY"
09,0981,"BINGHAMTON REGIONAL AIRPORT, NY"
09,0983,"ITHACA TOMPKINS INTL AIR, ITHACA, NY"
10,,"NEW YORK CITY, NY"
10,1001,"NEW YORK, NY"
10,1002,"ALBANY, NY"
11,,"PHILADELPHIA, PA"
11,1101,"PHILADELPHIA, PA"
11,1102,"CHESTER, PA"
11,1103,"WILMINGTON, DE"
11,1104,"PITTSBURGH, PA"
11,1105,"PAULSBORO, NJ"
11,1106,"WILKES-BARRE/SCRANTON, PA"
11,1107,"CAMDEN, NJ"
11,1108,"PHILA. INTL. AIRPORT, PA"
11,1109,"HARRISBURG, PA"
11,1113,"GLOUCESTER CITY, NJ"
11,1119,"ALLENTOWN, PA (LEHIGH VALLEY INTL AIRPT)"
11,1182,"ATLANTIC CITY REGIONAL AIRPORT, NJ"
11,1183,"TRENTON/MERCER COUNTY AIRPORT, NJ"
11,1195,"UPS, PHILADELPHIA, PA"
13,,"BALTIMORE, MD"
13,1301,"ANNAPOLIS, MD"
13,1302,"CAMBRIDGE, MD"
13,1303,"BALTIMORE, MD"
13,1304,"CRISFIELD, MD"
13,1305,"BWI INTERNATIONAL AIRPORT, MD"
14,,"NORFOLK, VA"
14,1401,"NORFOLK-NEWPORT NEWS, VA"
14,1404,"RICHMOND-PETERSBURG, VA"
14,1409,"CHARLESTON, WV"
14,1410,"FRONT ROYAL, VA"
14,1412,"NEW RIVER VALLEY, VA"
15,,"CHARLOTTE, NC"
15,1501,"WILMINGTON, NC"
15,1502,"WINSTON-SALEM, NC"
15,1503,"DURHAM, NC"
15,1511,"BEAUFORT-MOREHEAD CTY,NC"
15,1512,"CHARLOTTE, NC"
16,,"CHARLESTON, SC"
16,1601,"CHARLESTON, SC"
16,1602,"GEORGETOWN, SC"
16,1603,"GREENVILLE-SPARTANBRG, SC"
16,1604,"COLUMBIA, SC"
16,1681,"MYRTLE BEACH INTL AIRPORT, SC"
17,,"SAVANNAH, GA"
17,1701,"BRUNSWICK, GA"
17,1703,"SAVANNAH, GA"
17,1704,"ATLANTA, GA"
17,1791,"DHL HUB, ATLANTA, GA"
18,,"TAMPA, FL"
18,1801,"TAMPA, FL"
18,1803,"JACKSONVILLE, FL"
18,1805,"FERNANDINA BEACH, FL"
18,1807,"BOCA GRANDE, FL"
18,1808,"ORLANDO, FL"
18,1809,"ORLANDO-SANFORD AIRPORT, FL"
18,1814,"ST. PETERSBURG, FL"
18,1816,"PORT CANAVERAL, FL"
18,1818,"PANAMA CITY, FL"
18,1819,"PENSACOLA, FL"
18,1821,"PORT MANATEE, FL"
18,1822,"FORT MYERS AIRPORT, FL"
18,1880,"NAPLES MUNICIPAL USER FEE AIRP, FL"
18,1883,"SARASOTA BRADENTON ARPT, FL"
18,1884,"DAYTONA BEACH INT'L ARPT, FL"
18,1885,"MELBOURNE REGIONAL AIRPORT, FL"
18,1887,"LEESBURG REGIONAL AIRP, LEESBURG, FL"
18,1888,"ORLANDO EXECUTIVE AIRPORT, FL"
18,1889,"ST. AUGUSTINE AIRPORT, FL"
19,,"MOBILE, AL"
19,1901,"MOBILE, AL"
19,1902,"GULFPORT, MS"
19,1903,"PASCAGOULA, MS"
19,1904,"BIRMINGHAM, AL"
19,1910,"HUNTSVILLE, AL"
20,,"NEW ORLEANS, LA"
20,2001,"MORGAN CITY, LA"
20,2002,"NEW ORLEANS, LA"
20,2003,"LITTLE ROCK, AR"
20,2004,"BATON ROUGE, LA"
20,2006,"MEMPHIS, TN"
20,2007,"NASHVILLE, TN"
20,2008,"CHATTANOOGA, TN"
20,2010,"GRAMERCY, LA"
20,2011,"GREENVILLE, MS"
20,2015,"VICKSBURG, MS"
20,2016,"KNOXVILLE, TN"
20,2017,"LAKE CHARLES, LA"
20,2018,"SHREVEPORT/BOSSIER CITY, LA"
20,2027,"TRI-CITIES AIRPORT, TN"
20,2095,"FEDEX, MEMPHIS, TN"
21,,"PORT ARTHUR, TX"
21,2101,"PORT ARTHUR, TX"
21,2102,"SABINE, TX"
21,2103,"ORANGE, TX"
21,2104,"BEAUMONT, TX"
23,,"LAREDO, TX"
23,2301,"BROWNSVILLE, TX"
23,2302,"DEL RIO, TX"
23,2303,"EAGLE PASS, TX"
23,2304,"LAREDO, TX"
23,2305,"HIDALGO, PHARR, TX"
23,2307,"RIO GRANDE CITY, TX"
23,2309,"PROGRESO, TX"
23,2310,"ROMA, TX"
23,2383,"VALLEY INTL AIRPORT, HARLINGEN, TX"
24,,"EL PASO, TX"
24,2401,"YSLETA, TX"
24,2402,"EL PASO, TX"
24,2403,"PRESIDIO, TX"
24,2404,"FABENS, TX"
24,2406,"COLUMBUS, NM"
24,2407,"ALBUQUERQUE, NM"
24,2408,"SANTA TERESA, NM"
24,2481,"SANTA TERESA AIRPORT, NM"
25,,"SAN DIEGO, CA"
25,2501,"SAN DIEGO, CA"
25,2502,"ANDRADE, CA"
25,2503,"CALEXICO, CA"
25,2504,SAN YSIDRO
25,2505,"TECATE, CA"
25,2506,OTAY MESA
25,2507,CALEXICO-EAST
26,,"NOGALES, AZ"
26,2601,"DOUGLAS, AZ"
26,2602,"LUKEVILLE, AZ"
26,2603,"NACO, AZ"
26,2604,"NOGALES, AZ"
26,2605,"PHOENIX, AZ"
26,2606,"SASABE, AZ"
26,2608,"SAN LUIS, AZ"
26,2609,"TUCSON, AZ"
27,,"LOS ANGELES, CA"
27,2704,"LOS ANGELES, CA"
27,2709,"LONG BEACH, CA"
27,2712,"VENTURA, CA"
27,2713,"PORT HUENEME, CA"
27,2715,"CAPITAN, CA"
27,2719,"MORRO BAY, CA"
27,2721,"ONTARIO INTL AIRPORT, CA"
27,2722,"LAS VEGAS, NV"
27,2770,"DHL, LOS ANGELES, CA"
27,2775,"TNT EXPRESS, LAX, CA"
